Genus,Species,Superfamily,duration,geo.range,occupancy,abundance,body.size
Amusium,alabamense,Pectinoidea,3,0.3643,0.15,0.5519,3.98
Amusium,cf. squamulum,Pectinoidea,13,0.2246,0.0303,0.0086,4.5
Amusium,zinguli,Pectinoidea,0,0,0,0.0132,4.4
Callista,aequorea,Veneroidea,0,0.0212,0.0455,0.2817,34.42
Callista,aldrichi,Veneroidea,0,0.0212,0.0227,0.0025,44.71
Callista,annexa,Veneroidea,4,0.498,0.1404,0.3161,32.91
Callista,goniopisthus,Veneroidea,0,0.0201,0.0455,0.0064,25.84
Callista,mortoni,Veneroidea,0,0.0212,0.0455,0.192,50.72
Callista,pearlensis,Veneroidea,0,0.1095,0.0351,0.0064,33.05
Callista,perovata,Veneroidea,11,0.6138,0.0938,0.2514,39.72
Callista,sobrina,Veneroidea,1,0.8206,0.2609,0.1402,28.98
Carditamera,williamsi,Carditoidea,0,0,0,0.0008,19.05
Cf. Pitar,kempae,Veneroidea,3,0.0867,0.025,0.0651,35.5
Chione,victoria,Veneroidea,1,0.235,0.1304,0.0128,26.54
Chlamys,anatipes,Pectinoidea,3,0.4371,0.2444,0.0032,27.99
Chlamys,burlesonensis,Pectinoidea,7,0.3039,0.1373,0.0033,21.11
Chlamys,choctavensis,Pectinoidea,4,0.7,0.3667,0.009,25.2
Chlamys,clarkeana,Pectinoidea,7,0.0648,0.0588,0.0362,22.85
Chlamys,cocoana,Pectinoidea,4,0.4797,0.1452,0.0085,23.4
Chlamys,danvillensis,Pectinoidea,0,0.2607,0.0588,0.2532,15.25
Chlamys,deshayesii,Pectinoidea,4,0.6665,0.2105,0.039,47.44
Chlamys,greggi,Pectinoidea,1,0.0776,0.125,0.0221,27.82
Chlamys,menthifontis,Pectinoidea,0,0.1195,0.0909,0.01,41.59
Chlamys,nupera,Pectinoidea,0,0.5085,0.2105,0.0055,36.41
Chlamys,spillmani,Pectinoidea,5,0.5989,0.3582,0.0009,36.34
Chlamys,wahtubbeana,Pectinoidea,4,0.7379,0.087,0.0426,43.77
Eburneopecten,corneoides,Pectinoidea,1,0.003,0.0417,0.0542,33.83
Eburneopecten,frontalis,Pectinoidea,3,0.1025,0.023,0.0027,15.52
Eburneopecten,hamiltonensis,Pectinoidea,1,0.7055,0.0652,0.0596,21.22
